t_pc,t_mcu_ms,gx_raw,gy_raw,gz_raw
1771261867.7701252,753753,3.22888,0.815963,-3.96711
1771261867.7840629,753766,3.5027,0.491594,-4.14487
1771261867.7980201,753780,3.20231,-0.259007,-4.15312
1771261867.811938,753794,2.27517,-0.575282,-4.05309
1771261867.826079,753808,1.86574,-1.94499,-3.7979
1771261867.839958,753822,1.96134,-2.52318,-3.25729
1771261867.8537579,753836,1.94744,-2.99431,-2.46759
1771261867.867777,753850,0.872315,-2.73805,-0.953255
1771261867.882096,753864,0.334754,-2.42681,-0.0251982
1771261867.895893,753878,-0.412181,-1.9172,0.740979
1771261867.909771,753892,-0.217926,-2.16659,1.09055
1771261867.923677,753906,1.35444,-2.79944,0.417374
1771261867.937609,753920,3.65435,-1.70126,-0.804662
1771261867.951627,753933,3.99827,-0.897972,-0.0155771
1771261867.965508,753948,3.08594,0.586736,1.86375
1771261867.979491,753962,2.30052,0.94455,3.24293
1771261867.99345,753975,1.29977,0.911411,4.53231
1771261868.007466,753990,-0.6269,-0.54703,4.97259
1771261868.0212858,754004,-3.11129,-1.1246,4.39334
1771261868.035151,754017,-4.86279,-1.65483,4.39487
1771261868.0490398,754031,-4.13159,-2.06518,4.11311
1771261868.062839,754045,-2.22538,-2.47278,3.41489
1771261868.07684,754059,0.353538,-1.80908,-0.625526
1771261868.0907571,754073,0.39019,-1.38789,-1.237
1771261868.104737,754087,0.106596,-1.26816,-0.492815
1771261868.1187599,754101,-0.484874,-1.2228,-0.83658
1771261868.132573,754115,0.0200058,-1.32756,-1.05252
1771261868.1464992,754129,1.24846,-2.02548,-1.86512
1771261868.16222,754142,1.49463,-2.59572,-1.47768
1771261868.1762428,754158,1.19439,-2.6901,0.57742
1771261868.1902962,754172,1.08551,-3.30493,1.3129
1771261868.204399,754186,0.716087,-4.09142,2.38222
1771261868.218324,754200,-0.325133,-4.36738,3.35625
1771261868.232183,754214,-0.13775,-3.9242,2.35763
1771261868.24618,754228,1.10093,-3.64213,0.136681
1771261868.2599292,754242,1.71928,-3.28676,-1.14262
1771261868.273875,754255,1.99585,-2.87122,-2.29991
1771261868.287793,754270,2.56456,-3.7249,-4.04164
1771261868.3016582,754284,2.78753,-2.39474,-3.77698
1771261868.315647,754297,2.29563,-0.190895,-3.25469
1771261868.329481,754311,2.43262,-1.02977,-2.89413
1771261868.34328,754326,1.92423,-2.61465,-1.17469
1771261868.357235,754339,0.9586,-2.71071,-0.602618
1771261868.370945,754353,1.69698,-1.75166,-0.507782
1771261868.384795,754367,1.97462,0.184481,1.16782
1771261868.398876,754380,1.24708,1.89292,0.585972
1771261868.4128032,754395,0.196699,2.69132,0.502284
1771261868.426616,754409,-1.40148,1.13972,2.23852
1771261868.4405508,754422,-1.30954,0.110414,0.74892
1771261868.45468,754436,-0.853378,-0.624457,-3.87518
1771261868.468457,754451,-1.12659,-0.414166,-4.5485
1771261868.482453,754464,-1.45477,0.113163,-3.87044
1771261868.496263,754478,-2.21362,1.80938,-1.78281
1771261868.510198,754493,-2.56456,2.64398,-1.07634
1771261868.524072,754506,-2.80127,3.04974,-0.320399
1771261868.5379689,754520,-3.04409,2.97613,-0.583834
1771261868.551858,754534,-3.27714,1.63284,0.400728
1771261868.565652,754547,-2.38008,-2.19881,2.33167
1771261868.579504,754562,-1.93843,-3.24171,1.91155
1771261868.593353,754576,-1.78388,-3.66397,1.47157
1771261868.607455,754589,-0.655458,-3.18688,0.598648
1771261868.623261,754603,0.370032,-2.57006,-0.16921
1771261868.637318,754620,1.88162,-1.84894,0.0655153
1771261868.651446,754633,2.25226,-2.2883,0.239459
1771261868.6652548,754647,2.59404,-3.44574,0.112246
1771261868.679233,754662,1.5122,-2.87427,-0.0161879
1771261868.693383,754675,0.587499,-2.13513,0.609643
1771261868.707238,754689,-0.402407,-1.1159,0.773966
1771261868.721233,754704,-0.83826,-0.394008,0.173028
1771261868.735142,754717,-1.20692,0.914923,-0.673021
1771261868.7489762,754731,-1.28404,2.04151,-1.62047
1771261868.762753,754745,-1.51464,3.06776,-2.23867
1771261868.776617,754758,-2.0128,4.55736,-1.11972
1771261868.7904809,754773,-1.98775,4.9703,0.299629
1771261868.804427,754787,-1.96699,4.69816,2.78035
1771261868.8183308,754800,-1.89643,3.42146,4.21894
1771261868.832285,754814,-1.60856,2.47156,3.64274
1771261868.846345,754829,-1.03771,1.24281,-0.0933096
1771261868.8602219,754842,-0.951423,0.815352,-1.94805
1771261868.87417,754856,-0.237016,-0.549168,-3.65084
1771261868.8878899,754870,0.3514,-1.47356,-3.48605
1771261868.901741,754884,1.03511,-2.68246,-2.17972
1771261868.915822,754898,2.36603,-4.88158,2.07969
1771261868.929631,754912,2.73637,-4.99077,2.90482
1771261868.943563,754925,2.20079,-4.17817,0.784045
1771261868.957474,754940,1.32069,-2.8028,-0.412945
1771261868.971294,754954,1.36177,-1.81228,-1.81824
1771261868.985298,754967,0.718072,-0.136834,-2.83335
1771261868.9992719,754981,-0.166461,0.160963,-1.46913
1771261869.0132532,754996,-0.539394,0.351706,0.20464
1771261869.0272,755009,-0.799622,-0.506407,2.87611
1771261869.04104,755023,-1.19562,0.11973,2.28112
1771261869.0551438,755037,-1.43309,0.882547,-0.514501
1771261869.070682,755051,-1.18187,1.43324,-1.39674
1771261869.08477,755067,-0.966847,2.0212,-1.40423
1771261869.098832,755081,-0.530994,2.0041,-0.953102
1771261869.11293,755095,-0.041997,1.87826,-0.539547
1771261869.126934,755109,1.19943,1.11788,-0.394619
1771261869.140939,755123,1.43813,0.977537,-0.405156
1771261869.154929,755137,0.79611,1.23883,-0.429133
1771261869.168948,755151,0.261908,1.40942,-0.768926
1771261869.1828969,755165,-0.412181,2.08259,-1.40377
1771261869.1967082,755179,-1.15453,1.60276,-0.311388
1771261869.2105489,755193,1.1356,-1.00044,2.30327
1771261869.224458,755207,1.1834,-1.75761,3.51476
1771261869.2384121,755220,0.884533,-1.1753,4.25559
1771261869.252372,755234,-0.159894,-2.26173,4.99733
1771261869.266241,755249,-0.350636,-0.642324,3.30631
1771261869.280163,755262,-0.28451,-0.225867,1.60199
1771261869.294162,755276,-0.671188,0.434172,-0.822683
1771261869.307791,755291,-1.20096,0.597579,-2.37336
1771261869.322021,755304,-2.33839,0.793972,-4.13693
1771261869.335906,755318,-5.00237,0.464563,-1.67652
1771261869.3497431,755332,-5.0036,-3.18597,-2.95949
1771261869.363637,755345,-3.15771,-0.0485638,1.40636
1771261869.3775628,755360,-3.79256,-1.46379,-1.45569
1771261869.391535,755374,-1.55129,-3.74781,-0.578336
1771261869.405271,755387,1.0151,-1.03068,0.944398
1771261869.419283,755402,1.57741,-2.0632,3.66275
1771261869.4332218,755416,-0.426842,-0.80008,1.84955
1771261869.4473972,755429,-0.988838,0.0777326,1.51189
1771261869.461288,755443,-1.28404,-0.0930042,2.48744
1771261869.475216,755458,1.36864,-0.186467,0.967763
1771261869.489172,755471,1.40102,-0.0873537,0.30864
1771261869.503137,755485,0.846506,0.547488,-1.31305
1771261869.517133,755500,0.78939,0.799775,-1.0794
1771261869.532923,755513,-0.26313,1.28022,-0.407752
1771261869.546911,755529,0.177151,1.02854,2.75439
1771261869.5609448,755543,1.02503,0.432798,3.90862
1771261869.574938,755557,1.85092,0.215788,3.74613
1771261869.588914,755571,2.00608,0.287259,2.93643
1771261869.60288,755585,-0.388816,1.84283,-1.73455
1771261869.616756,755599,-1.65911,1.16416,-1.45966
1771261869.630712,755613,-1.83397,0.385456,-0.156687
1771261869.6446888,755627,-2.20797,-0.400575,0.837801
1771261869.658606,755640,-0.99403,-0.728609,2.86435
1771261869.672616,755655,-0.322537,0.0844521,1.53755
1771261869.6865652,755669,0.427606,0.279318,2.62214
1771261869.700518,755682,-0.334754,0.091477,2.1029
1771261869.714457,755697,-2.18613,-0.598953,3.33059
1771261869.728318,755711,-3.32723,-0.693179,4.74887
1771261869.742203,755724,-3.65954,-0.269544,5.0036
1771261869.756117,755738,-3.32326,0.227089,4.77361
1771261869.770068,755753,-3.44849,0.841467,3.57234
1771261869.783989,755766,-2.18858,1.18538,1.36727
1771261869.7978802,755780,-1.45462,1.09803,0.223118
1771261869.8117619,755794,-2.54242,0.572228,-1.43492
1771261869.8256052,755808,-1.29213,-1.24342,-3.79668
1771261869.8395321,755822,0.327118,-3.5563,-4.93136
1771261869.8534908,755836,1.52701,-3.92954,-4.60058
1771261869.867418,755849,0.166003,-1.37567,-2.97919
1771261869.881294,755864,-0.31261,-0.718377,-1.06138
1771261869.89517,755878,2.93795,-2.0942,-2.06579
1771261869.908854,755891,4.85424,-2.68384,-4.1916
1771261869.922775,755905,5.0036,-3.86891,-3.82753
1771261869.936645,755919,4.79453,-3.16443,-2.61053
1771261869.9503958,755933,3.55493,-3.92893,-1.24784
1771261869.964328,755947,3.24522,-5.0036,2.19667
1771261869.978322,755961,3.82936,-5.0036,3.0447
1771261869.9942,755974,2.77409,-4.99733,0.492357
1771261870.008304,755990,-0.665079,-1.47448,-0.790917
1771261870.022488,756005,-2.55525,-0.0167988,-2.32343
1771261870.036225,756018,-1.79518,0.186008,-3.15313
1771261870.050095,756032,1.37002,-1.72188,-3.39977
1771261870.0639842,756047,4.56698,-3.94451,-2.23882
1771261870.077872,756060,4.59539,-3.58669,-2.18629
1771261870.091697,756074,3.87976,-3.10762,-1.74295
1771261870.105598,756088,2.71285,-2.62779,-0.166003
1771261870.119614,756102,2.79868,-2.98835,0.369268
1771261870.133646,756116,3.95947,-4.81866,0.939969
1771261870.14748,756130,4.36341,-4.99932,1.44103
1771261870.1614132,756143,4.91426,-5.00161,1.56717
1771261870.175186,756158,5.0036,-3.22231,2.41674
1771261870.189049,756172,5.0036,-2.65619,2.98072
1771261870.202966,756185,5.0036,-3.08685,3.17864
1771261870.216924,756199,5.0036,-2.84342,2.45262
1771261870.2307782,756214,5.0036,-2.43827,2.2576
1771261870.244708,756227,4.78597,-4.47596,1.12995
1771261870.258657,756241,4.71236,-5.0036,-0.259159
1771261870.272522,756255,4.67235,-4.076,-1.13468
1771261870.286509,756268,4.98237,-3.80905,-0.540005
1771261870.300461,756283,5.00146,-4.4613,0.56673
1771261870.31444,756297,2.90466,-5.0036,3.27637
1771261870.3282938,756310,1.08566,-5.00237,3.10258
1771261870.342241,756325,0.899652,-4.48131,-2.15467
1771261870.35615,756339,4.23238,-1.47325,2.09588
1771261870.370124,756352,4.76505,-0.0978911,1.60428
1771261870.384089,756366,4.44511,-0.465479,0.276722
1771261870.3980439,756380,4.18992,-0.784351,0.121868
1771261870.4119549,756394,2.69666,-0.101098,1.08597
1771261870.42583,756408,2.06014,0.100029,1.91873
1771261870.439533,756422,2.12367,0.149356,2.23439
1771261870.455585,756436,3.87166,-0.512669,2.36664
1771261870.469514,756452,4.41289,-1.05084,2.48271
1771261870.483546,756465,4.3153,-1.96668,3.37335
1771261870.497518,756480,3.6997,-2.31426,4.17893
1771261870.511453,756494,2.87763,-1.78479,3.62945
1771261870.525524,756507,2.55846,0.657749,2.65329
1771261870.5394292,756521,3.13557,1.08444,2.45308
1771261870.553306,756536,3.11007,0.86529,2.33595
1771261870.567173,756549,2.97675,1.05741,2.26646
1771261870.5810518,756563,2.61969,1.32756,2.47125
1771261870.594872,756577,1.5151,2.65757,3.13343
1771261870.608716,756591,1.73425,2.55693,3.12335
1771261870.622572,756605,1.71653,1.0455,3.70719
1771261870.636517,756619,1.50777,0.981049,4.09035
1771261870.650458,756632,0.624151,1.68767,3.3396
1771261870.664428,756646,0.396604,0.374002,1.18523
1771261870.678472,756661,0.980286,-1.79335,0.734107
1771261870.6923509,756674,1.61436,-0.0403171,1.35734
1771261870.706239,756688,1.43217,2.0351,1.66949
1771261870.720237,756703,0.672868,3.29516,1.56458
1771261870.73422,756716,0.293826,2.95368,0.803746
1771261870.748169,756730,2.10474,2.48866,0.229227
1771261870.7621272,756744,0.914465,4.29606,1.06642
1771261870.776095,756758,0.0305433,4.41121,1.86787
1771261870.790111,756772,0.0728457,4.07386,1.88757
1771261870.804113,756786,-0.818559,2.78967,-0.66233
1771261870.817997,756800,-1.01556,1.88925,-1.94057
1771261870.832329,756814,-0.863153,0.0392481,-2.63878
1771261870.846375,756829,-0.249997,0.0594066,-2.50669
1771261870.860228,756842,0.186314,0.540921,-2.61114
1771261870.87409,756856,0.103083,1.40453,-2.95796
1771261870.888051,756870,-0.220217,1.20997,-2.50256
1771261870.902016,756884,-0.812756,0.730289,-1.21348
1771261870.918002,756898,-0.779311,0.770301,-0.811076
1771261870.9320471,756914,-0.706313,0.687529,-0.22938
1771261870.9460428,756928,-0.39187,0.462578,0.00977384
1771261870.96002,756942,0.299018,0.156687,0.0971275
1771261870.973957,756957,1.25655,-0.415694,0.240223
1771261870.987999,756970,1.23914,-0.54367,0.408974
1771261871.001924,756984,0.870941,-1.2089,0.512974
1771261871.0159402,756999,0.494954,-1.10353,0.478307
1771261871.030025,757012,0.0497855,-0.207236,0.527635
1771261871.043874,757026,-0.851699,2.34145,1.08016
1771261871.057696,757040,-1.19668,3.06838,1.52533
1771261871.0716748,757054,-1.00212,1.3914,1.57848
1771261871.085662,757068,-0.507324,-0.0151189,1.34344
1771261871.0995378,757082,-0.187994,-1.29794,1.08826
1771261871.113489,757095,-0.269086,-1.60749,0.871857
1771261871.127448,757110,-0.642019,-0.811076,0.712574
1771261871.141449,757124,-1.85443,0.934929,0.437685
1771261871.155306,757137,-2.3978,1.01465,0.314748
1771261871.169203,757151,-2.15574,0.67638,-0.159741
1771261871.183179,757166,-0.374918,-1.27045,-2.1446
1771261871.197089,757179,0.560316,-1.76067,-3.2692
1771261871.210986,757193,1.11345,-1.33779,-4.80675
1771261871.22493,757207,0.730747,-0.881478,-4.92052
1771261871.238879,757221,0.170279,-0.359036,-4.51383
1771261871.252834,757235,-0.444862,0.576962,-3.098
1771261871.266814,757249,-0.49251,0.441961,-2.60015
1771261871.280709,757263,-0.211054,0.101556,-1.83366
1771261871.2946408,757277,0.295659,0.00946841,-1.60612
1771261871.3085551,757291,0.416152,-0.394161,-1.50884
1771261871.322516,757304,0.0594066,-0.406225,-1.48532
1771261871.3364658,757319,-0.381638,-0.360258,-1.46867
1771261871.350254,757333,-0.762818,-0.225104,-1.43263
1771261871.365998,757346,-1.14308,0.333227,-0.932027
1771261871.3800142,757362,-1.0597,0.624457,-0.391564
1771261871.394042,757377,-0.521832,0.410654,0.622013
1771261871.408055,757390,-0.276264,0.0555887,0.934471
1771261871.421995,757404,-0.0397062,-0.194102,1.20539
1771261871.4359128,757418,0.0149662,-0.0293215,1.28251
1771261871.449916,757432,0.0804815,0.0424551,1.36956
1771261871.4635851,757446,0.288023,-0.130114,1.82084
1771261871.4776042,757460,0.566425,0.0612392,2.20858
1771261871.491572,757474,1.10292,0.675006,2.74798
1771261871.505485,757488,1.25823,0.704786,2.80998
1771261871.519541,757502,1.24464,0.393397,2.65146
1771261871.533633,757515,1.04794,0.86132,2.43995
1771261871.547634,757530,0.468075,0.8546,2.38146
1771261871.5615911,757544,-0.912632,0.651029,2.56838
1771261871.5755122,757557,-1.49311,0.266948,2.52272
1771261871.589452,757572,-1.77472,0.267254,2.19652
1771261871.603513,757586,-1.59161,0.339336,0.514348
1771261871.6172411,757599,-1.29885,0.274431,-0.368199
1771261871.63101,757613,-0.492815,-0.936609,-1.94591
1771261871.644944,757628,-0.0167988,-1.46959,-2.62168
1771261871.658885,757641,0.454942,-1.67377,-3.18337
1771261871.6730611,757655,0.55772,-1.58443,-3.80905
1771261871.686987,757670,0.447153,-1.08261,-3.82234
1771261871.7009149,757683,-0.0105374,-0.296728,-3.71666
1771261871.714874,757697,-0.10797,-0.129809,-3.53477
1771261871.728826,757711,-0.204945,0.373849,-3.08869
1771261871.742676,757725,0.329409,0.808174,-1.95416
1771261871.756578,757739,0.433409,0.886213,-1.47341
1771261871.770514,757753,0.444557,0.338877,-1.0739
1771261871.7845702,757766,0.203571,-0.146149,-0.984256
1771261871.798502,757781,0.0369573,-0.253814,-0.83826
1771261871.8125591,757795,-0.162337,-0.237627,-0.349262
1771261871.828361,757808,-0.288939,-0.297339,-0.119271
1771261871.842357,757825,-0.551,-0.107054,0.374766
1771261871.856571,757839,-0.638049,0.274737,0.620944
1771261871.8705122,757852,-0.778242,0.655306,1.05389
1771261871.8845398,757867,-0.72922,0.663399,1.19775
1771261871.898459,757880,-0.583071,0.539394,1.28831
